,block,type,cluster_label,fold,pattern_value
0,Cont_Cont,intra,0,0,0.0500293428385967
1,Cont_Default,inter,0,0,0.0157575566990857
2,Cont_DorsAttn,inter,0,0,0.0159606289411225
3,Cont_Limbic,inter,0,0,-0.0066168709221132
4,Cont_SalVentAttn,inter,0,0,0.0172117281347762
5,Cont_SomMot,inter,0,0,0.0028744101851028
6,Cont_Vis,inter,0,0,-0.0160534260904139
7,Default_Cont,inter,0,0,0.0157575567126029
8,Default_Default,intra,0,0,0.0416619678605978
9,Default_DorsAttn,inter,0,0,-0.0048399537417963
10,Default_Limbic,inter,0,0,0.0072648279485799
11,Default_SalVentAttn,inter,0,0,0.0028014691266253
12,Default_SomMot,inter,0,0,-0.0015040112258628
13,Default_Vis,inter,0,0,-0.009323615702312
14,DorsAttn_Cont,inter,0,0,0.0159606278954667
15,DorsAttn_Default,inter,0,0,-0.0048399536053987
16,DorsAttn_DorsAttn,intra,0,0,0.0657090712514312
17,DorsAttn_Limbic,inter,0,0,-0.0190238273945142
18,DorsAttn_SalVentAttn,inter,0,0,0.0199610114699087
19,DorsAttn_SomMot,inter,0,0,0.0302160093953278
20,DorsAttn_Vis,inter,0,0,0.0071097108676545
21,Limbic_Cont,inter,0,0,-0.0066168707450364
22,Limbic_Default,inter,0,0,0.0072648279547702
23,Limbic_DorsAttn,inter,0,0,-0.0190238274330557
24,Limbic_Limbic,intra,0,0,0.0936640174854822
25,Limbic_SalVentAttn,inter,0,0,-0.012959104649632
26,Limbic_SomMot,inter,0,0,-0.0194858428753389
27,Limbic_Vis,inter,0,0,-0.005884186549075
28,SalVentAttn_Cont,inter,0,0,0.0172117279960357
29,SalVentAttn_Default,inter,0,0,0.0028014695455697
30,SalVentAttn_DorsAttn,inter,0,0,0.019961011325399
31,SalVentAttn_Limbic,inter,0,0,-0.0129591046509116
32,SalVentAttn_SalVentAttn,intra,0,0,0.0630895711695051
33,SalVentAttn_SomMot,inter,0,0,0.0327292812336226
34,SalVentAttn_Vis,inter,0,0,-0.0078098948625567
35,SomMot_Cont,inter,0,0,0.0028744091725386
36,SomMot_Default,inter,0,0,-0.0015040113021448
37,SomMot_DorsAttn,inter,0,0,0.0302160084877547
38,SomMot_Limbic,inter,0,0,-0.0194858422396842
39,SomMot_SalVentAttn,inter,0,0,0.0327292807798054
40,SomMot_SomMot,intra,0,0,0.0709799620385568
41,SomMot_Vis,inter,0,0,0.0015692668596997
42,Vis_Cont,inter,0,0,-0.0160534265850231
43,Vis_Default,inter,0,0,-0.009323615733964
44,Vis_DorsAttn,inter,0,0,0.0071097107463699
45,Vis_Limbic,inter,0,0,-0.0058841869040728
46,Vis_SalVentAttn,inter,0,0,-0.007809894909085
47,Vis_SomMot,inter,0,0,0.0015692661313656
48,Vis_Vis,intra,0,0,0.0850158532538093
0,Cont_Cont,intra,1,0,0.0490629645458687
1,Cont_Default,inter,1,0,0.0154910962247496
2,Cont_DorsAttn,inter,1,0,0.0163639838045744
3,Cont_Limbic,inter,1,0,-0.0078226933046904
4,Cont_SalVentAttn,inter,1,0,0.0172921207518757
5,Cont_SomMot,inter,1,0,0.0039735248450367
6,Cont_Vis,inter,1,0,-0.0149696408729829
7,Default_Cont,inter,1,0,0.0154910962177901
8,Default_Default,intra,1,0,0.0401446382193378
9,Default_DorsAttn,inter,1,0,-0.004325531145887
10,Default_Limbic,inter,1,0,0.0060419520855116
11,Default_SalVentAttn,inter,1,0,0.0029728818831454
12,Default_SomMot,inter,1,0,-0.001020200743866
13,Default_Vis,inter,1,0,-0.0087408345347139
14,DorsAttn_Cont,inter,1,0,0.0163639827775732
