,block,type,cluster_label,fold,pattern_value
0,Cont_Cont,intra,0,0,0.022737731976326628
1,Cont_Default,inter,0,0,0.0017243578545663937
2,Cont_DorsAttn,inter,0,0,0.0027153248531722575
3,Cont_Limbic,inter,0,0,-7.678460908413538e-05
4,Cont_SalVentAttn,inter,0,0,0.002424965954987703
5,Cont_SomMot,inter,0,0,0.0004141473234412435
6,Cont_Vis,inter,0,0,-0.001359575388809165
7,Default_Cont,inter,0,0,0.0017243578923439127
8,Default_Default,intra,0,0,0.016457793813374116
9,Default_DorsAttn,inter,0,0,-0.00047340804604183726
10,Default_Limbic,inter,0,0,0.0016239187736506258
11,Default_SalVentAttn,inter,0,0,0.00048330911316751384
12,Default_SomMot,inter,0,0,-0.00017459396567114666
13,Default_Vis,inter,0,0,-0.00019916401133511814
14,DorsAttn_Cont,inter,0,0,0.002715324701576348
15,DorsAttn_Default,inter,0,0,-0.0004734080645956569
16,DorsAttn_DorsAttn,intra,0,0,0.02317383863237317
17,DorsAttn_Limbic,inter,0,0,-0.0007483535255804433
18,DorsAttn_SalVentAttn,inter,0,0,0.0021651252342765152
19,DorsAttn_SomMot,inter,0,0,0.002654587181188336
20,DorsAttn_Vis,inter,0,0,0.0010107511713328258
21,Limbic_Cont,inter,0,0,-7.678448188177626e-05
22,Limbic_Default,inter,0,0,0.001623918831417185
23,Limbic_DorsAttn,inter,0,0,-0.0007483536141771161
24,Limbic_Limbic,intra,0,0,0.03963359401229048
25,Limbic_SalVentAttn,inter,0,0,-0.0009483024889452106
26,Limbic_SomMot,inter,0,0,-0.0032719977596116848
27,Limbic_Vis,inter,0,0,-0.0009375719578575647
28,SalVentAttn_Cont,inter,0,0,0.0024249659855328596
29,SalVentAttn_Default,inter,0,0,0.0004833091711167568
30,SalVentAttn_DorsAttn,inter,0,0,0.0021651251460307174
31,SalVentAttn_Limbic,inter,0,0,-0.0009483025887019077
32,SalVentAttn_SalVentAttn,intra,0,0,0.02851540838283538
33,SalVentAttn_SomMot,inter,0,0,0.004613588547399042
34,SalVentAttn_Vis,inter,0,0,-0.0006561137125378534
35,SomMot_Cont,inter,0,0,0.00041414726500819645
36,SomMot_Default,inter,0,0,-0.00017459398775146622
37,SomMot_DorsAttn,inter,0,0,0.002654587113347086
38,SomMot_Limbic,inter,0,0,-0.0032719975458238306
39,SomMot_SalVentAttn,inter,0,0,0.00461358848888449
40,SomMot_SomMot,intra,0,0,0.025740774047219354
41,SomMot_Vis,inter,0,0,0.0009515792421013108
42,Vis_Cont,inter,0,0,-0.0013595754873104984
43,Vis_Default,inter,0,0,-0.0001991639804302986
44,Vis_DorsAttn,inter,0,0,0.0010107511175229192
45,Vis_Limbic,inter,0,0,-0.0009375720526051889
46,Vis_SalVentAttn,inter,0,0,-0.0006561136790235216
47,Vis_SomMot,inter,0,0,0.0009515791468402871
48,Vis_Vis,intra,0,0,0.02687139620019784
0,Cont_Cont,intra,1,0,0.01940450418688543
1,Cont_Default,inter,1,0,0.0008220727258373467
2,Cont_DorsAttn,inter,1,0,0.0012461430896428506
3,Cont_Limbic,inter,1,0,-0.00028106981418617795
4,Cont_SalVentAttn,inter,1,0,0.0013616937535997132
5,Cont_SomMot,inter,1,0,0.00039567354720223863
6,Cont_Vis,inter,1,0,-0.0010106450911247405
7,Default_Cont,inter,1,0,0.0008220727182751132
8,Default_Default,intra,1,0,0.012898872407141326
9,Default_DorsAttn,inter,1,0,-0.00039031620154946243
10,Default_Limbic,inter,1,0,0.00038719356636536057
11,Default_SalVentAttn,inter,1,0,8.873437521733293e-05
12,Default_SomMot,inter,1,0,0.000133061397235849
13,Default_Vis,inter,1,0,-0.0004729280570957037
14,DorsAttn_Cont,inter,1,0,0.001246143030527549
15,DorsAttn_Default,inter,1,0,-0.000390316201832553
16,DorsAttn_DorsAttn,intra,1,0,0.019164774012190595
17,DorsAttn_Limbic,inter,1,0,-0.0016374686926033716
18,DorsAttn_SalVentAttn,inter,1,0,0.0012715861144581174
19,DorsAttn_SomMot,inter,1,0,0.0017764201573095694
20,DorsAttn_Vis,inter,1,0,0.00031208255908054313
21,Limbic_Cont,inter,1,0,-0.00028106981285900466
22,Limbic_Default,inter,1,0,0.00038719356909902754
23,Limbic_DorsAttn,inter,1,0,-0.0016374687664777792
24,Limbic_Limbic,intra,1,0,0.040262068566065144
25,Limbic_SalVentAttn,inter,1,0,-0.0006006163548494354
26,Limbic_SomMot,inter,1,0,-0.0019588848991317917
27,Limbic_Vis,inter,1,0,-0.0006309763044168072
28,SalVentAttn_Cont,inter,1,0,0.0013616937438901586
29,SalVentAttn_Default,inter,1,0,8.873441777834859e-05
30,SalVentAttn_DorsAttn,inter,1,0,0.0012715860737140215
31,SalVentAttn_Limbic,inter,1,0,-0.0006006164403260698
32,SalVentAttn_SalVentAttn,intra,1,0,0.022572183300683796
33,SalVentAttn_SomMot,inter,1,0,0.0028986963032045254
34,SalVentAttn_Vis,inter,1,0,-0.0003043941765152579
35,SomMot_Cont,inter,1,0,0.0003956734910934224
36,SomMot_Default,inter,1,0,0.00013306135869586237
37,SomMot_DorsAttn,inter,1,0,0.0017764201024321107
38,SomMot_Limbic,inter,1,0,-0.001958884677908433
39,SomMot_SalVentAttn,inter,1,0,0.0028986962574924367
