"","column","diff","lwr","upr","p adj","significant","block_a","block_b","clusterlabel_a","clusterlabel_b"
"1","1:Cont_Cont-0:Cont_Cont",-0.00344980122052194,-0.00357648984013409,-0.00332311260090978,0,TRUE,"Cont","Cont","1","0"
"2","2:Cont_Cont-0:Cont_Cont",-0.00345129907376548,-0.00357798769337764,-0.00332461045415333,0,TRUE,"Cont","Cont","2","0"
"3","2:Cont_Cont-1:Cont_Cont",-1.49785324354834e-06,-0.000128186472855703,0.000125190766368606,1,FALSE,"Cont","Cont","2","1"
"4","1:Cont_Default-0:Cont_Default",-0.000872040344807681,-0.000998728964419835,-0.000745351725195526,0,TRUE,"Cont","Default","1","0"
"5","2:Cont_Default-0:Cont_Default",-0.00026649007482161,-0.000393178694433765,-0.000139801455209456,1.3061773884715e-12,TRUE,"Cont","Default","2","0"
"6","2:Cont_Default-1:Cont_Default",0.000605550269986071,0.000478861650373916,0.000732238889598225,0,TRUE,"Cont","Default","2","1"
"7","1:Cont_DorsAttn-0:Cont_DorsAttn",-0.00150890100770998,-0.00163558962732214,-0.00138221238809783,0,TRUE,"Cont","DorsAttn","1","0"
"8","2:Cont_DorsAttn-0:Cont_DorsAttn",-0.00114597518360451,-0.00127266380321666,-0.00101928656399235,0,TRUE,"Cont","DorsAttn","2","0"
"9","2:Cont_DorsAttn-1:Cont_DorsAttn",0.000362925824105476,0.000236237204493321,0.00048961444371763,0,TRUE,"Cont","DorsAttn","2","1"
"10","1:Cont_Limbic-0:Cont_Limbic",-9.22535689624889e-05,-0.000218942188574643,3.44350506496656e-05,0.880181490922745,FALSE,"Cont","Limbic","1","0"
"11","2:Cont_Limbic-0:Cont_Limbic",-1.38681619471165e-05,-0.000140556781559271,0.000112820457665038,1,FALSE,"Cont","Limbic","2","0"
"12","2:Cont_Limbic-1:Cont_Limbic",7.83854070153723e-05,-4.83032125967822e-05,0.000205074026627527,0.997340587637571,FALSE,"Cont","Limbic","2","1"
"13","1:Cont_SalVentAttn-0:Cont_SalVentAttn",-0.00112461266690182,-0.00125130128651397,-0.000997924047289661,0,TRUE,"Cont","SalVentAttn","1","0"
"14","2:Cont_SalVentAttn-0:Cont_SalVentAttn",-0.000970522340532651,-0.00109721096014481,-0.000843833720920497,0,TRUE,"Cont","SalVentAttn","2","0"
"15","2:Cont_SalVentAttn-1:Cont_SalVentAttn",0.000154090326369165,2.740170675701e-05,0.000280778945981319,0.000579675185893525,TRUE,"Cont","SalVentAttn","2","1"
"16","1:Cont_SomMot-0:Cont_SomMot",-6.44015167491184e-05,-0.000191090136361273,6.22871028630361e-05,0.999999313463363,FALSE,"Cont","SomMot","1","0"
"17","2:Cont_SomMot-0:Cont_SomMot",-0.00038990667500564,-0.000516595294617795,-0.000263218055393486,0,TRUE,"Cont","SomMot","2","0"
"18","2:Cont_SomMot-1:Cont_SomMot",-0.000325505158256522,-0.000452193777868676,-0.000198816538644367,1.97619698383278e-14,TRUE,"Cont","SomMot","2","1"
"19","1:Cont_Vis-0:Cont_Vis",0.000381178300903865,0.000254489681291711,0.00050786692051602,0,TRUE,"Cont","Vis","1","0"
"20","2:Cont_Vis-0:Cont_Vis",0.000378998864483005,0.000252310244870851,0.00050568748409516,0,TRUE,"Cont","Vis","2","0"
"21","2:Cont_Vis-1:Cont_Vis",-2.17943642085989e-06,-0.000128868056033014,0.000124509183191295,1,FALSE,"Cont","Vis","2","1"
"22","1:Default_Cont-0:Default_Cont",-0.000872040389855892,-0.000998729009468046,-0.000745351770243737,0,TRUE,"Default","Cont","1","0"
"23","2:Default_Cont-0:Default_Cont",-0.000266490118239417,-0.000393178737851571,-0.000139801498627262,1.3070655668912e-12,TRUE,"Default","Cont","2","0"
"24","2:Default_Cont-1:Default_Cont",0.000605550271616475,0.00047886165200432,0.000732238891228629,0,TRUE,"Default","Cont","2","1"
"25","1:Default_Default-0:Default_Default",-0.00355287371534211,-0.00367956233495427,-0.00342618509572996,0,TRUE,"Default","Default","1","0"
"26","2:Default_Default-0:Default_Default",-0.00363823997626633,-0.00376492859587849,-0.00351155135665418,0,TRUE,"Default","Default","2","0"
"27","2:Default_Default-1:Default_Default",-8.53662609242179e-05,-0.000212054880536372,4.13223586879366e-05,0.973252122403369,FALSE,"Default","Default","2","1"
"28","1:Default_DorsAttn-0:Default_DorsAttn",8.71100651069329e-05,-3.95785545052217e-05,0.000213798684719087,0.958343623306984,FALSE,"Default","DorsAttn","1","0"
"29","2:Default_DorsAttn-0:Default_DorsAttn",0.000468145014093379,0.000341456394481224,0.000594833633705533,0,TRUE,"Default","DorsAttn","2","0"
"30","2:Default_DorsAttn-1:Default_DorsAttn",0.000381034948986446,0.000254346329374291,0.0005077235685986,0,TRUE,"Default","DorsAttn","2","1"
"31","1:Default_Limbic-0:Default_Limbic",-0.00113057923438818,-0.00125726785400033,-0.00100389061477602,0,TRUE,"Default","Limbic","1","0"
"32","2:Default_Limbic-0:Default_Limbic",-0.00114896787624093,-0.00127565649585309,-0.00102227925662878,0,TRUE,"Default","Limbic","2","0"
"33","2:Default_Limbic-1:Default_Limbic",-1.83886418527543e-05,-0.000145077261464909,0.0001082999777594,1,FALSE,"Default","Limbic","2","1"
"34","1:Default_SalVentAttn-0:Default_SalVentAttn",-0.000426955937464435,-0.000553644557076589,-0.00030026731785228,0,TRUE,"Default","SalVentAttn","1","0"
"35","2:Default_SalVentAttn-0:Default_SalVentAttn",-5.21858685443541e-05,-0.000178874488156509,7.45027510678004e-05,1,FALSE,"Default","SalVentAttn","2","0"
"36","2:Default_SalVentAttn-1:Default_SalVentAttn",0.000374770068920081,0.000248081449307926,0.000501458688532235,0,TRUE,"Default","SalVentAttn","2","1"
"37","1:Default_SomMot-0:Default_SomMot",0.000291729283762348,0.000165040664150193,0.000418417903374502,1.33304478566743e-12,TRUE,"Default","SomMot","1","0"
"38","2:Default_SomMot-0:Default_SomMot",-5.21281380783862e-05,-0.000178816757690541,7.45604815337683e-05,1,FALSE,"Default","SomMot","2","0"
"39","2:Default_SomMot-1:Default_SomMot",-0.000343857421840734,-0.000470546041452888,-0.000217168802228579,0,TRUE,"Default","SomMot","2","1"
"40","1:Default_Vis-0:Default_Vis",-0.000271407059007448,-0.000398095678619603,-0.000144718439395293,1.31439303885372e-12,TRUE,"Default","Vis","1","0"
"41","2:Default_Vis-0:Default_Vis",-5.35669317794001e-05,-0.000180255551391555,7.31216878327545e-05,0.999999999993999,FALSE,"Default","Vis","2","0"
"42","2:Default_Vis-1:Default_Vis",0.000217840127228048,9.11515076158934e-05,0.000344528746840202,3.17861847953793e-10,TRUE,"Default","Vis","2","1"
"43","1:DorsAttn_Cont-0:DorsAttn_Cont",-0.00150890091340103,-0.00163558953301318,-0.00138221229378888,0,TRUE,"DorsAttn","Cont","1","0"
"44","2:DorsAttn_Cont-0:DorsAttn_Cont",-0.0011459750942288,-0.00127266371384095,-0.00101928647461665,0,TRUE,"DorsAttn","Cont","2","0"
"45","2:DorsAttn_Cont-1:DorsAttn_Cont",0.000362925819172229,0.000236237199560075,0.000489614438784384,0,TRUE,"DorsAttn","Cont","2","1"
"46","1:DorsAttn_Default-0:DorsAttn_Default",8.71100820858678e-05,-3.95785375262867e-05,0.000213798701698022,0.958343453064965,FALSE,"DorsAttn","Default","1","0"
"47","2:DorsAttn_Default-0:DorsAttn_Default",0.000468144961108314,0.000341456341496159,0.000594833580720468,0,TRUE,"DorsAttn","Default","2","0"
"48","2:DorsAttn_Default-1:DorsAttn_Default",0.000381034879022446,0.000254346259410291,0.0005077234986346,0,TRUE,"DorsAttn","Default","2","1"
"49","1:DorsAttn_DorsAttn-0:DorsAttn_DorsAttn",-0.00414886483180698,-0.00427555345141913,-0.00402217621219482,0,TRUE,"DorsAttn","DorsAttn","1","0"
"50","2:DorsAttn_DorsAttn-0:DorsAttn_DorsAttn",-0.00282936245470321,-0.00295605107431537,-0.00270267383509106,0,TRUE,"DorsAttn","DorsAttn","2","0"
"51","2:DorsAttn_DorsAttn-1:DorsAttn_DorsAttn",0.00131950237710377,0.00119281375749161,0.00144619099671592,0,TRUE,"DorsAttn","DorsAttn","2","1"
"52","1:DorsAttn_Limbic-0:DorsAttn_Limbic",-0.000803397150461813,-0.000930085770073967,-0.000676708530849658,0,TRUE,"DorsAttn","Limbic","1","0"
"53","2:DorsAttn_Limbic-0:DorsAttn_Limbic",6.4302725169537e-05,-6.23858944426176e-05,0.000190991344781691,0.999999367116839,FALSE,"DorsAttn","Limbic","2","0"
"54","2:DorsAttn_Limbic-1:DorsAttn_Limbic",0.00086769987563135,0.000741011256019195,0.000994388495243504,0,TRUE,"DorsAttn","Limbic","2","1"
"55","1:DorsAttn_SalVentAttn-0:DorsAttn_SalVentAttn",-0.000936568537415985,-0.00106325715702814,-0.00080987991780383,0,TRUE,"DorsAttn","SalVentAttn","1","0"
"56","2:DorsAttn_SalVentAttn-0:DorsAttn_SalVentAttn",-0.00036538529455714,-0.000492073914169295,-0.000238696674944986,0,TRUE,"DorsAttn","SalVentAttn","2","0"
"57","2:DorsAttn_SalVentAttn-1:DorsAttn_SalVentAttn",0.000571183242858844,0.00044449462324669,0.000697871862470999,0,TRUE,"DorsAttn","SalVentAttn","2","1"
"58","1:DorsAttn_SomMot-0:DorsAttn_SomMot",-0.000932868666805529,-0.00105955728641768,-0.000806180047193374,0,TRUE,"DorsAttn","SomMot","1","0"
"59","2:DorsAttn_SomMot-0:DorsAttn_SomMot",-0.00130635907039589,-0.00143304769000805,-0.00117967045078374,0,TRUE,"DorsAttn","SomMot","2","0"
"60","2:DorsAttn_SomMot-1:DorsAttn_SomMot",-0.000373490403590363,-0.000500179023202518,-0.000246801783978209,0,TRUE,"DorsAttn","SomMot","2","1"
"61","1:DorsAttn_Vis-0:DorsAttn_Vis",-0.000647908707949325,-0.00077459732756148,-0.000521220088337171,0,TRUE,"DorsAttn","Vis","1","0"
