,node_a,node_b,pattern_value,cluster_label,fold
0,Cont,Cont,0.022737731976326628,0,0
1,Cont,Default,0.0017243578545663937,0,0
2,Cont,DorsAttn,0.0027153248531722575,0,0
3,Cont,Limbic,-7.678460908413538e-05,0,0
4,Cont,SalVentAttn,0.002424965954987703,0,0
5,Cont,SomMot,0.0004141473234412435,0,0
6,Cont,Vis,-0.001359575388809165,0,0
7,Default,Cont,0.0017243578923439127,0,0
8,Default,Default,0.016457793813374116,0,0
9,Default,DorsAttn,-0.00047340804604183726,0,0
10,Default,Limbic,0.0016239187736506258,0,0
11,Default,SalVentAttn,0.00048330911316751384,0,0
12,Default,SomMot,-0.00017459396567114666,0,0
13,Default,Vis,-0.00019916401133511814,0,0
14,DorsAttn,Cont,0.002715324701576348,0,0
15,DorsAttn,Default,-0.0004734080645956569,0,0
16,DorsAttn,DorsAttn,0.02317383863237317,0,0
17,DorsAttn,Limbic,-0.0007483535255804433,0,0
18,DorsAttn,SalVentAttn,0.0021651252342765152,0,0
19,DorsAttn,SomMot,0.002654587181188336,0,0
20,DorsAttn,Vis,0.0010107511713328258,0,0
21,Limbic,Cont,-7.678448188177626e-05,0,0
22,Limbic,Default,0.001623918831417185,0,0
23,Limbic,DorsAttn,-0.0007483536141771161,0,0
24,Limbic,Limbic,0.03963359401229048,0,0
25,Limbic,SalVentAttn,-0.0009483024889452106,0,0
26,Limbic,SomMot,-0.0032719977596116848,0,0
27,Limbic,Vis,-0.0009375719578575647,0,0
28,SalVentAttn,Cont,0.0024249659855328596,0,0
29,SalVentAttn,Default,0.0004833091711167568,0,0
30,SalVentAttn,DorsAttn,0.0021651251460307174,0,0
31,SalVentAttn,Limbic,-0.0009483025887019077,0,0
32,SalVentAttn,SalVentAttn,0.02851540838283538,0,0
33,SalVentAttn,SomMot,0.004613588547399042,0,0
34,SalVentAttn,Vis,-0.0006561137125378534,0,0
35,SomMot,Cont,0.00041414726500819645,0,0
36,SomMot,Default,-0.00017459398775146622,0,0
37,SomMot,DorsAttn,0.002654587113347086,0,0
38,SomMot,Limbic,-0.0032719975458238306,0,0
39,SomMot,SalVentAttn,0.00461358848888449,0,0
40,SomMot,SomMot,0.025740774047219354,0,0
41,SomMot,Vis,0.0009515792421013108,0,0
42,Vis,Cont,-0.0013595754873104984,0,0
43,Vis,Default,-0.0001991639804302986,0,0
44,Vis,DorsAttn,0.0010107511175229192,0,0
45,Vis,Limbic,-0.0009375720526051889,0,0
46,Vis,SalVentAttn,-0.0006561136790235216,0,0
47,Vis,SomMot,0.0009515791468402871,0,0
48,Vis,Vis,0.02687139620019784,0,0
0,Cont,Cont,0.01940450418688543,1,0
1,Cont,Default,0.0008220727258373467,1,0
2,Cont,DorsAttn,0.0012461430896428506,1,0
3,Cont,Limbic,-0.00028106981418617795,1,0
4,Cont,SalVentAttn,0.0013616937535997132,1,0
5,Cont,SomMot,0.00039567354720223863,1,0
6,Cont,Vis,-0.0010106450911247405,1,0
7,Default,Cont,0.0008220727182751132,1,0
8,Default,Default,0.012898872407141326,1,0
9,Default,DorsAttn,-0.00039031620154946243,1,0
10,Default,Limbic,0.00038719356636536057,1,0
11,Default,SalVentAttn,8.873437521733293e-05,1,0
12,Default,SomMot,0.000133061397235849,1,0
13,Default,Vis,-0.0004729280570957037,1,0
14,DorsAttn,Cont,0.001246143030527549,1,0
15,DorsAttn,Default,-0.000390316201832553,1,0
16,DorsAttn,DorsAttn,0.019164774012190595,1,0
17,DorsAttn,Limbic,-0.0016374686926033716,1,0
18,DorsAttn,SalVentAttn,0.0012715861144581174,1,0
